ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,opkt,obyt,in,out,sas,das,smk,dmk,dtos,dir,nh,nhb,svln,dvln,ismc,odmc,idmc,osmc,mpls1,mpls2,mpls3,mpls4,mpls5,mpls6,mpls7,mpls8,mpls9,mpls10,cl,sl,al,ra,eng,exid,tr
2026-01-03 08:49:44,2026-01-03 08:49:44,0.000,192.200.0.114,192.168.0.86,443,49870,TCP,...A....,0,0,1,52,0,0,1,2,0,0,0,24,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,192.168.0.1,0/0,1,2026-01-03 08:50:02.141
2026-01-03 08:49:44,2026-01-03 08:49:44,0.000,192.168.0.148,192.168.0.1,49392,443,TCP,...A....,0,0,2,104,0,0,2,3,0,0,24,32,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,192.168.0.1,0/0,1,2026-01-03 08:50:02.141
2026-01-03 08:49:44,2026-01-03 08:49:44,0.000,192.168.0.1,192.168.0.148,443,49392,TCP,...AP...,0,2,2,221,0,0,0,2,0,0,32,24,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,192.168.0.1,0/0,1,2026-01-03 08:50:02.141
2026-01-03 08:49:44,2026-01-03 08:49:44,0.000,192.168.0.157,255.255.255.255,54326,54321,UDP,........,0,0,1,60,0,0,2,1,0,0,24,0,0,0,84.192.104.1,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,192.168.0.1,0/0,1,2026-01-03 08:50:02.141
2026-01-03 08:49:44,2026-01-03 08:49:44,0.000,192.168.0.86,192.200.0.114,49870,443,TCP,...A....,0,0,1,41,0,0,2,1,0,0,24,0,0,0,84.192.104.1,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,192.168.0.1,0/0,1,2026-01-03 08:50:02.141
2026-01-03 08:49:45,2026-01-03 08:49:45,0.000,192.168.0.1,192.168.0.75,161,53047,UDP,........,0,0,1,1447,0,0,0,2,0,0,32,24,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,192.168.0.1,0/0,1,2026-01-03 08:50:02.141
2026-01-03 08:49:45,2026-01-03 08:49:45,0.000,192.168.0.75,192.168.0.1,53047,161,UDP,........,0,0,1,1146,0,0,2,3,0,0,24,32,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,192.168.0.1,0/0,1,2026-01-03 08:50:02.141
2026-01-03 08:49:46,2026-01-03 08:49:46,0.000,192.168.0.5,9.9.9.9,53685,53,UDP,........,0,0,1,74,0,0,2,1,0,0,24,0,0,0,84.192.104.1,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,192.168.0.1,0/0,1,2026-01-03 08:50:02.141
2026-01-03 08:49:46,2026-01-03 08:49:46,0.000,9.9.9.9,192.168.0.5,53,53685,UDP,........,0,0,1,131,0,0,1,2,0,0,0,24,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,192.168.0.1,0/0,1,2026-01-03 08:50:02.141
2026-01-03 08:49:46,2026-01-03 08:49:46,0.000,176.58.92.254,192.168.0.148,3478,41641,UDP,........,0,0,1,60,0,0,1,2,0,0,0,24,0,0,0.0.0.0,0.0.0.0,0,0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,    0.000,    0.000,    0.000,192.168.0.1,0/0,1,2026-01-03 08:50:02.141
